sentence | translation | sdg 
Los tutores académicos y de empresa de los premiados también han sido galardonados. | The academic and company tutors of the awardees have also been awarded. | 4
Se da la circunstancia que tanto Rosa Martínez, como Daniel Ros y Pedro Ayala son egresados de la UPCT. | It is noteworthy that both Rosa Martínez, Daniel Ros, and Pedro Ayala are graduates of UPCT. | 4
Y en el caso de Ros ya fue premiado por el programa Encuentro TF, pero como alumno. | In the case of Ros, he was already awarded by the Encounter TF program, but as a student. | 4
Durante el acto se han entregado también distinciones a estudiantes que han participado en proyectos de emprendimiento financiados por el programa Encuentro TF. | During the event, distinctions have also been awarded to students who have participated in entrepreneurship projects funded by the Encounter TF program. | 8
En el caso de la UPCT han sido galardonados Nicolás Giraldo Morales, Jesús Martínez Herrero, Alesia Shakhalenka, Ana Cristina Alonso García, Basma Barhel Aousser y Aya Zizi Hamzaoui. | In the case of UPCT, Nicolás Giraldo Morales, Jesús Martínez Herrero, Alesia Shakhalenka, Ana Cristina Alonso García, Basma Barhel Aousser, and Aya Zizi Hamzaoui have been awarded. | 4
Quienes han podido asistir a recoger el diploma, Martínez y Shakhalenka, han explicado que sus iniciativas consisten, respectivamente, en digitalizar las autorizaciones de entrega de pedidos para empresas de logística y en crear una plataforma de terapias psicológicas solidaria con las personas con discapacidad. | Those who were able to attend to receive the diploma, Martínez and Shakhalenka, explained that their initiatives consist, respectively, in digitizing delivery authorization for logistics companies and creating a platform of psychological therapies in solidarity with people with disabilities. | 3
Durante el acto se han entregado también distinciones a estudiantes que han participado en proyectos de emprendimiento financiados por el programa Encuentro TF. | During the event, distinctions have also been awarded to students who have participated in entrepreneurship projects funded by the Encounter TF program. | 8
Por la Universidad de Murcia han sido premiados por sus TFG María Teresa Egea Valera y Isabel María Pérez Artigao; y por sus TFM Julia Alarcón Luna y María Ángeles Rosell Pérez. | From the University of Murcia, María Teresa Egea Valera and Isabel María Pérez Artigao have been awarded for their TFG; and Julia Alarcón Luna and María Ángeles Rosell Pérez have been awarded for their TFM. | 4
Así como los tutores académicos Francisco Guillermo Díaz, Isabel Durante y Gema Nieto, al igual que los tutores de empresa Víctor García, María Santa Marco y Rafael Fuster. | As well as the academic tutors Francisco Guillermo Díaz, Isabel Durante, and Gema Nieto, just like the company tutors Víctor García, María Santa Marco, and Rafael Fuster. | 4
También han recibido un diploma de participación en actividades de emprendimiento Belén Ferrando, Mercedes Guerrero, Jesús Guillamón, Caridad Hernández, Juan Daniel Suárez, Imad El Jamaoui, Gabriel Garrappa y María José López. | Belén Ferrando, Mercedes Guerrero, Jesús Guillamón, Caridad Hernández, Juan Daniel Suárez, Imad El Jamaoui, Gabriel Garrappa, and María José López have also received a participation diploma in entrepreneurship activities. | 8
